प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
सीमॉस	0	5	स	सी	सीम	स	ॉस	मॉस	0	स	ी	म	ॉ	स	सी	ीम	मॉ	ॉस	स_	सीम	ीमॉ	मॉस	ॉस_	स__	सीमॉ	ीमॉस	मॉस_	ॉस__	स___	सीमॉस	ीमॉस_	मॉस__	ॉस___	स____	36.3	मेगापिक्सल	सेंसर	और	B_ASP
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	मेगापिक्सल	सीमॉस	और	आईएसओ	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	सीमॉस	सेंसर	आईएसओ	रेंज	0
आईएसओ	0	5	आ	आई	आईए	ओ	सओ	एसओ	0	आ	ई	ए	स	ओ	आई	ईए	एस	सओ	ओ_	आईए	ईएस	एसओ	सओ_	ओ__	आईएस	ईएसओ	एसओ_	सओ__	ओ___	आईएसओ	ईएसओ_	एसओ__	सओ___	ओ____	सेंसर	और	रेंज	दिया	B_ASP
रेंज	0	4	र	रे	रें	ज	ंज	ेंज	0	र	े	ं	ज	_	रे	ें	ंज	ज_	__	रें	ेंज	ंज_	ज__	___	रेंज	ेंज_	ंज__	ज___	____	रेंज_	ेंज__	ंज___	ज____	_____	और	आईएसओ	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	आईएसओ	रेंज	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	रेंज	दिया	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	दिया	गया	NULL	NULL	0
EOL
निकोन	0	5	न	नि	निक	न	ोन	कोन	0	न	ि	क	ो	न	नि	िक	को	ोन	न_	निक	िको	कोन	ोन_	न__	निको	िकोन	कोन_	ोन__	न___	निकोन	िकोन_	कोन__	ोन___	न____	NULL	NULL	डी810	के	0
डी810	0	5	ड	डी	डी8	0	10	810	0	ड	ी	8	1	0	डी	ी8	81	10	0_	डी8	ी81	810	10_	0__	डी81	ी810	810_	10__	0___	डी810	ी810_	810__	10___	0____	NULL	निकोन	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	निकोन	डी810	लिए	कंपनी	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	डी810	के	कंपनी	की	0
कंपनी	0	5	क	कं	कंप	ी	नी	पनी	0	क	ं	प	न	ी	कं	ंप	पन	नी	ी_	कंप	ंपन	पनी	नी_	ी__	कंपन	ंपनी	पनी_	नी__	ी___	कंपनी	ंपनी_	पनी__	नी___	ी____	के	लिए	की	ओर	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	लिए	कंपनी	ओर	से	0
ओर	0	2	ओ	ओर	NULL	र	ओर	NULL	0	ओ	र	_	_	_	ओर	र_	__	__	__	ओर_	र__	___	___	___	ओर__	र___	____	____	____	ओर___	र____	_____	_____	_____	कंपनी	की	से	फिल्ममेकर	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	की	ओर	फिल्ममेकर	किट	0
फिल्ममेकर	0	9	फ	फि	फिल	र	कर	ेकर	0	फ	ि	ल	्	म	फि	िल	ल्	्म	मम	फिल	िल्	ल्म	्मम	ममे	फिल्	िल्म	ल्मम	्ममे	ममेक	फिल्म	िल्मम	ल्ममे	्ममेक	ममेकर	ओर	से	किट	और	B_ASP
किट	0	3	क	कि	किट	ट	िट	किट	0	क	ि	ट	_	_	कि	िट	ट_	__	__	किट	िट_	ट__	___	___	किट_	िट__	ट___	____	____	किट__	िट___	ट____	_____	_____	से	फिल्ममेकर	और	एनिमेटर	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	फिल्ममेकर	किट	एनिमेटर	किट	0
एनिमेटर	0	7	ए	एन	एनि	र	टर	ेटर	0	ए	न	ि	म	े	एन	नि	िम	मे	ेट	एनि	निम	िमे	मेट	ेटर	एनिम	निमे	िमेट	मेटर	ेटर_	एनिमे	निमेट	िमेटर	मेटर_	ेटर__	किट	और	किट	भी	B_ASP
किट	0	3	क	कि	किट	ट	िट	किट	0	क	ि	ट	_	_	कि	िट	ट_	__	__	किट	िट_	ट__	___	___	किट_	िट__	ट___	____	____	किट__	िट___	ट____	_____	_____	और	एनिमेटर	भी	दी	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	एनिमेटर	किट	दी	जा	0
दी	0	2	द	दी	NULL	ी	दी	NULL	0	द	ी	_	_	_	दी	ी_	__	__	__	दी_	ी__	___	___	___	दी__	ी___	____	____	____	दी___	ी____	_____	_____	_____	किट	भी	जा	रही	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	भी	दी	रही	है	0
रही	0	3	र	रह	रही	ी	ही	रही	0	र	ह	ी	_	_	रह	ही	ी_	__	__	रही	ही_	ी__	___	___	रही_	ही__	ी___	____	____	रही__	ही___	ी____	_____	_____	दी	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	रही	NULL	NULL	0
EOL
कंपनी	0	5	क	कं	कंप	ी	नी	पनी	0	क	ं	प	न	ी	कं	ंप	पन	नी	ी_	कंप	ंपन	पनी	नी_	ी__	कंपन	ंपनी	पनी_	नी__	ी___	कंपनी	ंपनी_	पनी__	नी___	ी____	NULL	NULL	ने	इस	0
ने	1	2	न	ने	NULL	े	ने	NULL	0	न	े	_	_	_	ने	े_	__	__	__	ने_	े__	___	___	___	ने__	े___	____	____	____	ने___	े____	_____	_____	_____	NULL	कंपनी	इस	कैमरे	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	कंपनी	ने	कैमरे	में	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	ने	इस	में	20.1	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	कैमरे	20.1	मेगापिक्सल	0
20.1	0	4	2	20	20.	1	.1	0.1	0	2	0	.	1	_	20	0.	.1	1_	__	20.	0.1	.1_	1__	___	20.1	0.1_	.1__	1___	____	20.1_	0.1__	.1___	1____	_____	कैमरे	में	मेगापिक्सल	इफेक्टिव	0
मेगापिक्सल	0	10	म	मे	मेग	ल	सल	्सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्स	में	20.1	इफेक्टिव	सेंसर	0
इफेक्टिव	0	8	इ	इफ	इफे	व	िव	टिव	0	इ	फ	े	क	्	इफ	फे	ेक	क्	्ट	इफे	फेक	ेक्	क्ट	्टि	इफेक	फेक्	ेक्ट	क्टि	्टिव	इफेक्	फेक्ट	ेक्टि	क्टिव	्टिव_	20.1	मेगापिक्सल	सेंसर	बैक-इलुमिनिटेड	0
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	मेगापिक्सल	इफेक्टिव	बैक-इलुमिनिटेड	1.0	B_ASP
बैक-इलुमिनिटेड	0	14	ब	बै	बैक	ड	ेड	टेड	0	ब	ै	क	-	इ	बै	ैक	क-	-इ	इल	बैक	ैक-	क-इ	-इल	इलु	बैक-	ैक-इ	क-इल	-इलु	इलुम	बैक-इ	ैक-इल	क-इलु	-इलुम	इलुमि	इफेक्टिव	सेंसर	1.0	टाइप	0
1.0	0	3	1	1.	1.0	0	.0	1.0	0	1	.	0	_	_	1.	.0	0_	__	__	1.0	.0_	0__	___	___	1.0_	.0__	0___	____	____	1.0__	.0___	0____	_____	_____	सेंसर	बैक-इलुमिनिटेड	टाइप	एक्सपो	0
टाइप	0	4	ट	टा	टाइ	प	इप	ाइप	0	ट	ा	इ	प	_	टा	ाइ	इप	प_	__	टाइ	ाइप	इप_	प__	___	टाइप	ाइप_	इप__	प___	____	टाइप_	ाइप__	इप___	प____	_____	बैक-इलुमिनिटेड	1.0	एक्सपो	सीमॉस	0
एक्सपो	0	6	ए	एक	एक्	ो	पो	सपो	0	ए	क	्	स	प	एक	क्	्स	सप	पो	एक्	क्स	्सप	सपो	पो_	एक्स	क्सप	्सपो	सपो_	पो__	एक्सप	क्सपो	्सपो_	सपो__	पो___	1.0	टाइप	सीमॉस	सेंसर	B_ASP
सीमॉस	0	5	स	सी	सीम	स	ॉस	मॉस	0	स	ी	म	ॉ	स	सी	ीम	मॉ	ॉस	स_	सीम	ीमॉ	मॉस	ॉस_	स__	सीमॉ	ीमॉस	मॉस_	ॉस__	स___	सीमॉस	ीमॉस_	मॉस__	ॉस___	स____	टाइप	एक्सपो	सेंसर	दिया	I_ASP
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	एक्सपो	सीमॉस	दिया	है	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	सीमॉस	सेंसर	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	सेंसर	दिया	NULL	NULL	0
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	3	इंच	0
3	0	1	3	NULL	NULL	3	NULL	NULL	0	3	_	_	_	_	3_	__	__	__	__	3__	___	___	___	___	3___	____	____	____	____	3____	_____	_____	_____	_____	NULL	इसमें	इंच	की	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	इसमें	3	की	एलसीडी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	3	इंच	एलसीडी	डिस्पले	0
एलसीडी	0	6	ए	एल	एलस	ी	डी	ीडी	0	ए	ल	स	ी	ड	एल	लस	सी	ीड	डी	एलस	लसी	सीड	ीडी	डी_	एलसी	लसीड	सीडी	ीडी_	डी__	एलसीड	लसीडी	सीडी_	ीडी__	डी___	इंच	की	डिस्पले	स्क्रीन	B_ASP
डिस्पले	0	7	ड	डि	डिस	े	ले	पले	1	ड	ि	स	्	प	डि	िस	स्	्प	पल	डिस	िस्	स्प	्पल	पले	डिस्	िस्प	स्पल	्पले	पले_	डिस्प	िस्पल	स्पले	्पले_	पले__	की	एलसीडी	स्क्रीन	तथा	I_ASP
स्क्रीन	0	7	स	स्	स्क	न	ीन	रीन	1	स	्	क	्	र	स्	्क	क्	्र	री	स्क	्क्	क्र	्री	रीन	स्क्	्क्र	क्री	्रीन	रीन_	स्क्र	्क्री	क्रीन	्रीन_	रीन__	एलसीडी	डिस्पले	तथा	300-शॉट्स	I_ASP
तथा	0	3	त	तथ	तथा	ा	था	तथा	0	त	थ	ा	_	_	तथ	था	ा_	__	__	तथा	था_	ा__	___	___	तथा_	था__	ा___	____	____	तथा__	था___	ा____	_____	_____	डिस्पले	स्क्रीन	300-शॉट्स	बैटरी	0
300-शॉट्स	0	9	3	30	300	स	्स	ट्स	0	3	0	0	-	श	30	00	0-	-श	शॉ	300	00-	0-श	-शॉ	शॉट	300-	00-श	0-शॉ	-शॉट	शॉट्	300-श	00-शॉ	0-शॉट	-शॉट्	शॉट्स	स्क्रीन	तथा	बैटरी	दिए	0
बैटरी	0	5	ब	बै	बैट	ी	री	टरी	1	ब	ै	ट	र	ी	बै	ैट	टर	री	ी_	बैट	ैटर	टरी	री_	ी__	बैटर	ैटरी	टरी_	री__	ी___	बैटरी	ैटरी_	टरी__	री___	ी____	तथा	300-शॉट्स	दिए	गए	B_ASP
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	300-शॉट्स	बैटरी	गए	हैं	0
गए	0	2	ग	गए	NULL	ए	गए	NULL	0	ग	ए	_	_	_	गए	ए_	__	__	__	गए_	ए__	___	___	___	गए__	ए___	____	____	____	गए___	ए____	_____	_____	_____	बैटरी	दिए	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	दिए	गए	NULL	NULL	0
EOL
बिल्कुल	0	7	ब	बि	बिल	ल	ुल	कुल	0	ब	ि	ल	्	क	बि	िल	ल्	्क	कु	बिल	िल्	ल्क	्कु	कुल	बिल्	िल्क	ल्कु	्कुल	कुल_	बिल्क	िल्कु	ल्कुल	्कुल_	कुल__	NULL	NULL	साधारण	सी	0
साधारण	0	6	स	सा	साध	ण	रण	ारण	0	स	ा	ध	ा	र	सा	ाध	धा	ार	रण	साध	ाधा	धार	ारण	रण_	साधा	ाधार	धारण	ारण_	रण__	साधार	ाधारण	धारण_	ारण__	रण___	NULL	बिल्कुल	सी	बात	0
सी	0	2	स	सी	NULL	ी	सी	NULL	0	स	ी	_	_	_	सी	ी_	__	__	__	सी_	ी__	___	___	___	सी__	ी___	____	____	____	सी___	ी____	_____	_____	_____	बिल्कुल	साधारण	बात	है	0
बात	0	3	ब	बा	बात	त	ात	बात	0	ब	ा	त	_	_	बा	ात	त_	__	__	बात	ात_	त__	___	___	बात_	ात__	त___	____	____	बात__	ात___	त____	_____	_____	साधारण	सी	है	यदि	0
