आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
अगर	0	3	अ	अग	अगर	र	गर	अगर	0	अ	ग	र	_	_	अग	गर	र_	__	__	अगर	गर_	र__	___	___	अगर_	गर__	र___	____	____	अगर__	गर___	र____	_____	_____	साथ	ही	प्रोसेसर	पर	0
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	ही	अगर	पर	आयें	B_ASP
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	अगर	प्रोसेसर	आयें	तो	0
आयें	0	4	आ	आय	आये	ं	ें	यें	0	आ	य	े	ं	_	आय	ये	ें	ं_	__	आये	यें	ें_	ं__	___	आयें	यें_	ें__	ं___	____	आयें_	यें__	ें___	ं____	_____	प्रोसेसर	पर	तो	इस	0
तो	1	2	त	तो	NULL	ो	तो	NULL	0	त	ो	_	_	_	तो	ो_	__	__	__	तो_	ो__	___	___	___	तो__	ो___	____	____	____	तो___	ो____	_____	_____	_____	पर	आयें	इस	स्मार्टफ़ोन	0
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	आयें	तो	स्मार्टफ़ोन	में	0
स्मार्टफ़ोन	0	10	स	स्	स्म	न	ोन	फ़ोन	0	स	्	म	ा	र	स्	्म	मा	ार	र्	स्म	्मा	मार	ार्	र्ट	स्मा	्मार	मार्	ार्ट	र्टफ़	स्मार	्मार्	मार्ट	ार्टफ़	र्टफ़ो	तो	इस	में	MT6752	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	स्मार्टफ़ोन	MT6752	64-बिट	0
MT6752	0	6	M	MT	MT6	2	52	752	0	M	T	6	7	5	MT	T6	67	75	52	MT6	T67	675	752	52_	MT67	T675	6752	752_	52__	MT675	T6752	6752_	752__	52___	स्मार्टफ़ोन	में	64-बिट	ओक्टा-कोर	0
64-बिट	0	6	6	64	64-	ट	िट	बिट	0	6	4	-	ब	ि	64	4-	-ब	बि	िट	64-	4-ब	-बि	बिट	िट_	64-ब	4-बि	-बिट	बिट_	िट__	64-बि	4-बिट	-बिट_	बिट__	िट___	में	MT6752	ओक्टा-कोर	मीडियाटेक	0
ओक्टा-कोर	0	9	ओ	ओक	ओक्	र	ोर	कोर	0	ओ	क	्	ट	ा	ओक	क्	्ट	टा	ा-	ओक्	क्ट	्टा	टा-	ा-क	ओक्ट	क्टा	्टा-	टा-क	ा-को	ओक्टा	क्टा-	्टा-क	टा-को	ा-कोर	MT6752	64-बिट	मीडियाटेक	का	B_ASP
मीडियाटेक	0	9	म	मी	मीड	क	ेक	टेक	0	म	ी	ड	ि	य	मी	ीड	डि	िय	या	मीड	ीडि	डिय	िया	याट	मीडि	ीडिय	डिया	ियाट	याटे	मीडिय	ीडिया	डियाट	ियाटे	याटेक	64-बिट	ओक्टा-कोर	का	प्रोसेसर	I_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	ओक्टा-कोर	मीडियाटेक	प्रोसेसर	है	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	मीडियाटेक	का	है	स्मार्टफ़ोन	I_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	का	प्रोसेसर	स्मार्टफ़ोन	में	0
स्मार्टफ़ोन	0	10	स	स्	स्म	न	ोन	फ़ोन	0	स	्	म	ा	र	स्	्म	मा	ार	र्	स्म	्मा	मार	ार्	र्ट	स्मा	्मार	मार्	ार्ट	र्टफ़	स्मार	्मार्	मार्ट	ार्टफ़	र्टफ़ो	प्रोसेसर	है	में	2	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	है	स्मार्टफ़ोन	2	GB	0
2	0	1	2	NULL	NULL	2	NULL	NULL	0	2	_	_	_	_	2_	__	__	__	__	2__	___	___	___	___	2___	____	____	____	____	2____	_____	_____	_____	_____	स्मार्टफ़ोन	में	GB	की	0
GB	0	2	G	GB	NULL	B	GB	NULL	0	G	B	_	_	_	GB	B_	__	__	__	GB_	B__	___	___	___	GB__	B___	____	____	____	GB___	B____	_____	_____	_____	में	2	की	रैम	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	2	GB	रैम	भी	0
रैम	0	3	र	रै	रैम	म	ैम	रैम	1	र	ै	म	_	_	रै	ैम	म_	__	__	रैम	ैम_	म__	___	___	रैम_	ैम__	म___	____	____	रैम__	ैम___	म____	_____	_____	GB	की	भी	है.	B_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	की	रैम	है.	NULL	0
है.	0	3	ह	है	है.	.	ै.	है.	0	ह	ै	.	_	_	है	ै.	._	__	__	है.	ै._	.__	___	___	है._	ै.__	.___	____	____	है.__	ै.___	.____	_____	_____	रैम	भी	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	फोन	के	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	इस	के	प्रमुख	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	इस	फोन	प्रमुख	आकर्षणो	0
प्रमुख	0	6	प	प्	प्र	ख	ुख	मुख	0	प	्	र	म	ु	प्	्र	रम	मु	ुख	प्र	्रम	रमु	मुख	ुख_	प्रम	्रमु	रमुख	मुख_	ुख__	प्रमु	्रमुख	रमुख_	मुख__	ुख___	फोन	के	आकर्षणो	में	0
आकर्षणो	0	7	आ	आक	आकर	ो	णो	षणो	0	आ	क	र	्	ष	आक	कर	र्	्ष	षण	आकर	कर्	र्ष	्षण	षणो	आकर्	कर्ष	र्षण	्षणो	षणो_	आकर्ष	कर्षण	र्षणो	्षणो_	षणो__	के	प्रमुख	में	से	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	प्रमुख	आकर्षणो	से	एक	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	आकर्षणो	में	एक	है	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	में	से	है	डिस्प्ले	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	से	एक	डिस्प्ले	जो	0
डिस्प्ले	0	8	ड	डि	डिस	े	ले	्ले	1	ड	ि	स	्	प	डि	िस	स्	्प	प्	डिस	िस्	स्प	्प्	प्ल	डिस्	िस्प	स्प्	्प्ल	प्ले	डिस्प	िस्प्	स्प्ल	्प्ले	प्ले_	एक	है	जो	है	B_ASP
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	है	डिस्प्ले	है	5.7	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	डिस्प्ले	जो	5.7	इंच	0
5.7	0	3	5	5.	5.7	7	.7	5.7	0	5	.	7	_	_	5.	.7	7_	__	__	5.7	.7_	7__	___	___	5.7_	.7__	7___	____	____	5.7__	.7___	7____	_____	_____	जो	है	इंच	का	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	है	5.7	का	फुल	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	5.7	इंच	फुल	एचडी	0
फुल	0	3	फ	फु	फुल	ल	ुल	फुल	0	फ	ु	ल	_	_	फु	ुल	ल_	__	__	फुल	ुल_	ल__	___	___	फुल_	ुल__	ल___	____	____	फुल__	ुल___	ल____	_____	_____	इंच	का	एचडी	आइपीएस	0
एचडी	0	4	ए	एच	एचड	ी	डी	चडी	0	ए	च	ड	ी	_	एच	चड	डी	ी_	__	एचड	चडी	डी_	ी__	___	एचडी	चडी_	डी__	ी___	____	एचडी_	चडी__	डी___	ी____	_____	का	फुल	आइपीएस	वैरायटी	0
आइपीएस	0	6	आ	आइ	आइप	स	एस	ीएस	0	आ	इ	प	ी	ए	आइ	इप	पी	ीए	एस	आइप	इपी	पीए	ीएस	एस_	आइपी	इपीए	पीएस	ीएस_	एस__	आइपीए	इपीएस	पीएस_	ीएस__	एस___	फुल	एचडी	वैरायटी	जिसमें	0
वैरायटी	0	7	व	वै	वैर	ी	टी	यटी	0	व	ै	र	ा	य	वै	ैर	रा	ाय	यट	वैर	ैरा	राय	ायट	यटी	वैरा	ैराय	रायट	ायटी	यटी_	वैराय	ैरायट	रायटी	ायटी_	यटी__	एचडी	आइपीएस	जिसमें	1920x1080	0
जिसमें	0	6	ज	जि	जिस	ं	ें	में	0	ज	ि	स	म	े	जि	िस	सम	मे	ें	जिस	िसम	समे	में	ें_	जिसम	िसमे	समें	में_	ें__	जिसमे	िसमें	समें_	में__	ें___	आइपीएस	वैरायटी	1920x1080	पिक्सल	0
1920x1080	0	9	1	19	192	0	80	080	0	1	9	2	0	x	19	92	20	0x	x1	192	920	20x	0x1	x10	1920	920x	20x1	0x10	x108	1920x	920x1	20x10	0x108	x1080	वैरायटी	जिसमें	पिक्सल	रिजॉल्यूशन	0
पिक्सल	0	6	प	पि	पिक	ल	सल	्सल	0	प	ि	क	्	स	पि	िक	क्	्स	सल	पिक	िक्	क्स	्सल	सल_	पिक्	िक्स	क्सल	्सल_	सल__	पिक्स	िक्सल	क्सल_	्सल__	सल___	जिसमें	1920x1080	रिजॉल्यूशन	है	B_ASP
रिजॉल्यूशन	0	10	र	रि	रिज	न	शन	ूशन	1	र	ि	ज	ॉ	ल	रि	िज	जॉ	ॉल	ल्	रिज	िजॉ	जॉल	ॉल्	ल्य	रिजॉ	िजॉल	जॉल्	ॉल्य	ल्यू	रिजॉल	िजॉल्	जॉल्य	ॉल्यू	ल्यूश	1920x1080	पिक्सल	है	जो	I_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	पिक्सल	रिजॉल्यूशन	जो	पिक्सल	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	रिजॉल्यूशन	है	पिक्सल	की	0
पिक्सल	0	6	प	पि	पिक	ल	सल	्सल	0	प	ि	क	्	स	पि	िक	क्	्स	सल	पिक	िक्	क्स	्सल	सल_	पिक्	िक्स	क्सल	्सल_	सल__	पिक्स	िक्सल	क्सल_	्सल__	सल___	है	जो	की	घनता	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	जो	पिक्सल	घनता	को	I_ASP
घनता	0	4	घ	घन	घनत	ा	ता	नता	0	घ	न	त	ा	_	घन	नत	ता	ा_	__	घनत	नता	ता_	ा__	___	घनता	नता_	ता__	ा___	____	घनता_	नता__	ता___	ा____	_____	पिक्सल	की	को	386	I_ASP
को	1	2	क	को	NULL	ो	को	NULL	0	क	ो	_	_	_	को	ो_	__	__	__	को_	ो__	___	___	___	को__	ो___	____	____	____	को___	ो____	_____	_____	_____	की	घनता	386	पीपीआइ	0
386	0	3	3	38	386	6	86	386	0	3	8	6	_	_	38	86	6_	__	__	386	86_	6__	___	___	386_	86__	6___	____	____	386__	86___	6____	_____	_____	घनता	को	पीपीआइ	तक	0
पीपीआइ	0	6	प	पी	पीप	इ	आइ	ीआइ	0	प	ी	प	ी	आ	पी	ीप	पी	ीआ	आइ	पीप	ीपी	पीआ	ीआइ	आइ_	पीपी	ीपीआ	पीआइ	ीआइ_	आइ__	पीपीआ	ीपीआइ	पीआइ_	ीआइ__	आइ___	को	386	तक	लाता	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	386	पीपीआइ	लाता	है	0
लाता	0	4	ल	ला	लात	ा	ता	ाता	0	ल	ा	त	ा	_	ला	ात	ता	ा_	__	लात	ाता	ता_	ा__	___	लाता	ाता_	ता__	ा___	____	लाता_	ाता__	ता___	ा____	_____	पीपीआइ	तक	है	जिससे	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	तक	लाता	जिससे	स्क्रीन	0
जिससे	0	5	ज	जि	जिस	े	से	ससे	0	ज	ि	स	स	े	जि	िस	सस	से	े_	जिस	िसस	ससे	से_	े__	जिसस	िससे	ससे_	से__	े___	जिससे	िससे_	ससे__	से___	े____	लाता	है	स्क्रीन	अच्छी	0
स्क्रीन	0	7	स	स्	स्क	न	ीन	रीन	1	स	्	क	्	र	स्	्क	क्	्र	री	स्क	्क्	क्र	्री	रीन	स्क्	्क्र	क्री	्रीन	रीन_	स्क्र	्क्री	क्रीन	्रीन_	रीन__	है	जिससे	अच्छी	शार्प	B_ASP
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	जिससे	स्क्रीन	शार्प	दिखने	0
