बुध	ुधव	धवा	वार	ार_	
EOL	OL_	L__	___	___	

कैम	ैमर	मरे	रे_	े__	
लगी	गी_	ी__	___	___	
स्‍	्‍क	‍क्	क्र	्री	
की_	ी__	___	___	___	
सबस	बसे	से_	े__	___	
बड़	ड़ी	़ी_	ी__	___	
खास	ासि	सिय	ियत	यत_	
है_	ै__	___	___	___	
इसक	सकी	की_	ी__	___	
स्‍	्‍क	‍क्	क्र	्री	
को_	ो__	___	___	___	
90_	0__	___	___	___	
डिग	िग्	ग्र	्री	री_	
तक_	क__	___	___	___	
मोड	ोड़	ड़_	़__	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

निक	िकॉ	कॉन	ॉन_	न__	
कूल	ूल_	ल__	___	___	
पिक	िक्	क्‍	्‍स	‍स_	
S63	630	300	00_	0__	
(__	___	___	___	___	
Nik	iko	kon	on_	n__	
Coo	ool	olp	lpi	pix	
S63	630	300	00_	0__	
)__	___	___	___	___	
कीम	ीमत	मत_	त__	___	
9,6	,65	652	52_	2__	
रुप	ुपए	पए_	ए__	___	
,__	___	___	___	___	
कैम	ैमर	मरा	रा_	ा__	
साइ	ाइज	इज_	ज__	___	
93.	3.6	.6_	6__	___	
x__	___	___	___	___	
57.	7.7	.7_	7__	___	
x__	___	___	___	___	
36_	6__	___	___	___	
एमए	मएम	एम_	म__	___	
,__	___	___	___	___	
वेट	ेट_	ट__	___	___	
:__	___	___	___	___	
160	60_	0__	___	___	
ग्र	्रा	राम	ाम_	म__	
रेज	ेज्	ज्‍	्‍य	‍यू	
:__	___	___	___	___	
16_	6__	___	___	___	
मेग	ेगा	गाप	ापि	पिक	
फोक	ोकल	कल_	ल__	___	
लें	ेंथ	ंथ_	थ__	___	
:__	___	___	___	___	
25-	5-2	-25	250	50_	
एमए	मएम	एम_	म__	___	
ऑप्	प्‍	्‍ट	‍टि	टिक	
जूम	ूम_	म__	___	___	
:__	___	___	___	___	
10_	0__	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
एलस	लसी	सीड	ीडी	डी_	
डिस	िस्	स्‍	्‍प	‍प्	
:__	___	___	___	___	
2.7	.7_	7__	___	___	
इंच	ंच_	च__	___	___	
230	30_	0__	___	___	
डॉट	ॉट्	ट्स	्स_	स__	
आईए	ईएस	एसओ	सओ_	ओ__	
:__	___	___	___	___	
125	25-	5-3	-32	320	
वीड	ीडि	डिय	ियो	यो_	
रिक	िका	कार	ार्	र्ड	
:__	___	___	___	___	
192	920	20_	0__	___	
x__	___	___	___	___	
108	080	80_	0__	___	
रेज	ेज्	ज्‍	्‍य	‍यू	
कूल	ूल_	ल__	___	___	
पिक	िक्	क्‍	्‍स	‍स_	
एस_	स__	___	___	___	
630	300	00_	0__	___	
ट्र	्रै	रैव	ैवल	वलि	
लवर	वर्	र्स	्स_	स__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
अच्	च्‍	्‍छ	‍छा	छा_	
केम	ेमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एक_	क__	___	___	___	
वेर	ेरि	रिय	ियं	यंट	
में	ें_	ं__	___	___	
इसक	सके	के_	े__	___	
साथ	ाथ्	थ्ज	्ज्	ज्ञ	
123	235	35ए	5एम	एमए	
एफ2	फ2.	2.8	.8ए	8एच	
लैं	ैंस	ंस_	स__	___	
दिए	िए_	ए__	___	___	
जा_	ा__	___	___	___	
रहे	हे_	े__	___	___	
हैं	ैं_	ं__	___	___	
जिस	िसक	सकी	की_	ी__	
कीम	ीमत	मत_	त__	___	
1,7	,72	72,	2,9	,99	
रूप	ूपए	पए_	ए__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
जबक	बकि	कि_	ि__	___	
बिन	िना	ना_	ा__	___	
इन_	न__	___	___	___	
फीच	ीचर	चर्	र्स	्स_	
वाल	ाले	ले_	े__	___	
वेर	ेरि	रिय	ियं	यंट	
कीक	ीकी	कीत	ीत_	त__	
1,1	,11	11,	1,9	,99	
रूप	ूपए	पए_	ए__	___	
रखी	खी_	ी__	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

क्‍	्‍य	‍यो	यों	ोंक	
इसक	सका	का_	ा__	___	
साइ	ाइज	इज_	ज__	___	
कैन	ैनन	नन_	न__	___	
पॉव	ॉवर	वर_	र__	___	
शॉट	ॉट_	ट__	___	___	
एसए	सएक	एक्	क्‍	्‍स	
150	50I	0IS	IS_	S__	
के_	े__	___	___	___	
मुक	ुका	काब	ाबल	बले	
थोड	ोड़	ड़ा	़ा_	ा__	
कॉम	ॉम्	म्‍	्‍प	‍पै	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जिस	िसस	ससे	से_	े__	
आप_	प__	___	___	___	
कार	ार_	र__	___	___	
या_	ा__	___	___	___	
फिर	िर_	र__	___	___	
बस_	स__	___	___	___	
में	ें_	ं__	___	___	
सफर	फर_	र__	___	___	
करत	रते	ते_	े__	___	
समय	मय_	य__	___	___	
अच्	च्‍	्‍छ	‍छी	छी_	
पिक	िक्	क्‍	्‍च	‍चर	
क्ल	्लि	लिक	िक_	क__	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कैन	ैनन	नन_	न__	___	
में	ें_	ं__	___	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
16_	6__	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
जूम	ूम_	म__	___	___	
निक	िकॉ	कॉन	ॉन_	न__	
कूल	ूल_	ल__	___	___	
पिक	िक्	क्‍	्‍स	‍स_	
के_	े__	___	___	___	
10_	0__	___	___	___	
एक्	क्‍	्‍स	‍स_	स__	
जूम	ूम_	म__	___	___	
से_	े__	___	___	___	
ज्‍	्‍य	‍या	याद	ादा	
बेह	ेहत	हतर	तर_	र__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लेक	ेकि	किन	िन_	न__	
कूल	ूल_	ल__	___	___	
पिक	िक्	क्‍	्‍स	‍स_	
में	ें_	ं__	___	___	
मैन	ैन्	न्‍	्‍य	‍यु	
मोड	ोड_	ड__	___	___	
सपो	पोर	ोर्	र्ट	्ट_	
नही	हीं	ीं_	ं__	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
लेक	ेकि	किन	िन_	न__	
कैन	ैनन	नन_	न__	___	
पॉव	ॉवर	वर_	र__	___	
शॉट	ॉट_	ट__	___	___	
सेम	ेमी	मी_	ी__	___	
मैन	ैन्	न्‍	्‍य	‍यु	
कंट	ंट्	ट्र	्रो	रोल	
प्र	्रो	रोव	ोवा	वाइ	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
जिस	िसस	ससे	से_	े__	
आप_	प__	___	___	___	
ज्‍	्‍य	‍या	याद	ादा	
अच्	च्‍	्‍छ	‍छी	छी_	
फोट	ोटो	टो_	ो__	___	
कैप	ैपच	पचर	चर_	र__	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वैस	ैसे	से_	े__	___	
तो_	ो__	___	___	___	
दोन	ोनो	नों	ों_	ं__	
कैम	ैमर	मरा	रा_	ा__	
अपन	पने	ने_	े__	___	
आप_	प__	___	___	___	
में	ें_	ं__	___	___	
अच्	च्‍	्‍छ	‍छे	छे_	
हैं	ैं_	ं__	___	___	
लेक	ेकि	किन	िन_	न__	
निक	िकॉ	कॉन	ॉन_	न__	
का_	ा__	___	___	___	
कूल	ूल_	ल__	___	___	
पिक	िक्	क्‍	्‍स	‍सल	
पॉक	ॉके	केट	ेट_	ट__	
फ्र	्रे	रें	ेंड	ंडल	
होन	ोने	ने_	े__	___	
के_	े__	___	___	___	
कार	ारण	रण_	ण__	___	
ज्‍	्‍य	‍या	याद	ादा	
बेह	ेहत	हतर	तर_	र__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

साथ	ाथ_	थ__	___	___	
ही_	ी__	___	___	___	
इसक	सका	का_	ा__	___	
वेट	ेट_	ट__	___	___	
भी_	ी__	___	___	___	
160	60_	0__	___	___	
ग्र	्रा	राम	ाम_	म__	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
कैन	ैनन	नन_	न__	___	
के_	े__	___	___	___	
पॉव	ॉवर	वर_	र__	___	
शॉट	ॉट_	ट__	___	___	
एसए	सएक	एक्	क्‍	्‍स	
के_	े__	___	___	___	
360	60_	0__	___	___	
ग्र	्रा	राम	ाम_	म__	
वेट	ेट_	ट__	___	___	
से_	े__	___	___	___	
काफ	ाफी	फी_	ी__	___	
हल्	ल्‍	्‍क	‍का	का_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मात	ात्	त्र	्र_	र__	
644	441	41_	1__	___	
रूप	ूपए	पए_	ए__	___	
में	ें_	ं__	___	___	
हाथ	ाथो	थों	ों_	ं__	
हाथ	ाथ_	थ__	___	___	
फोट	ोटो	टो_	ो__	___	
निक	िका	काल	ालन	लने	
वाल	ाला	ला_	ा__	___	
कैम	ैमर	मरा	रा_	ा__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इन_	न__	___	___	___	
कैम	ैमर	मरो	रों	ों_	
की_	ी__	___	___	___	
सबस	बसे	से_	े__	___	
खास	ास_	स__	___	___	
बात	ात_	त__	___	___	
ये_	े__	___	___	___	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
इनस	नसे	से_	े__	___	
फोट	ोटो	टो_	ो__	___	
खीं	ींच	ंचत	चते	ते_	
ही_	ी__	___	___	___	
हाथ	ाथो	थों	ों_	ं__	
हाथ	ाथ_	थ__	___	___	
उसक	सका	का_	ा__	___	
प्र	्रि	रिं	िंट	ंटआ	
निक	िकल	कल_	ल__	___	
आता	ता_	ा__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फुज	ुजी	जीफ	ीफि	फिल	
मिन	िनी	नी_	ी__	___	
8__	___	___	___	___	
एक_	क__	___	___	___	
साध	ाधा	धार	ारण	रण_	
ऑपर	परे	रेश	ेशन	शनल	
सिस	िस्	स्ट	्टम	टम_	
वाल	ाला	ला_	ा__	___	
कैम	ैमर	मरा	रा_	ा__	
जिस	िसस	ससे	सें	ें_	
फोट	ोटो	टो_	ो__	___	
खीं	ींच	ंच_	च__	___	
कर_	र__	___	___	___	
हाथ	ाथो	थों	ों_	ं__	
हाथ	ाथ_	थ__	___	___	
उसक	सका	का_	ा__	___	
प्र	्रि	रिं	िंट	ंटआ	
लिय	िया	या_	ा__	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
कैम	ैमर	मरे	रे_	े__	
से_	े__	___	___	___	
डिफ	िफर	फरे	रें	ेंट	
मोड	ोड्	ड्स	्स_	स__	
तथा	था_	ा__	___	___	
ब्र	्रा	राइ	ाइट	इटन	
एडज	डजस	जस्	स्ट	्ट_	
करक	रके	के_	े__	___	
अच्	च्छ	्छी	छी_	ी__	
फोट	ोटो	टोज	ोज_	ज__	
ली_	ी__	___	___	___	
जा_	ा__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
बच्	च्च	्चो	चों	ों_	
और_	र__	___	___	___	
लेड	ेडी	डीज	ीज_	ज__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
शान	ानद	नदा	दार	ार_	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जबक	बकि	कि_	ि__	___	
फुज	ुजी	जीफ	ीफि	फिल	
मिन	िनी	नी_	ी__	___	
25_	5__	___	___	___	
एक_	क__	___	___	___	
शान	ानद	नदा	दार	ार_	
सेल	ेल्	ल्फ	्फी	फी_	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फुज	ुजी	जीफ	ीफि	फिल	
मिन	िनी	नी_	ी__	___	
50ए	0एस	एस_	स__	___	
सेल	ेल्	ल्फ	्फी	फी_	
टाइ	ाइम	इमर	मर_	र__	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
आया	या_	ा__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वही	हीं	ीं_	ं__	___	
फुज	ुजी	जीफ	ीफि	फिल	
मिन	िनी	नी_	ी__	___	
90_	0__	___	___	___	
इस_	स__	___	___	___	
सीर	ीरी	रीज	ीज_	ज__	
का_	ा__	___	___	___	
सबस	बसे	से_	े__	___	
शान	ानद	नदा	दार	ार_	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कंप	ंपन	पनी	नी_	ी__	
ने_	े__	___	___	___	
इसम	समे	में	ें_	ं__	
क्ल	्लस	लसि	सिक	िक_	
रेट	ेट्	ट्र	्रो	रो_	
लुक	ुक_	क__	___	___	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
बल्	ल्ब	्ब_	ब__	___	
,__	___	___	___	___	
डबल	बल_	ल__	___	___	
एक्	क्स	्सप	सपो	पोज	
,__	___	___	___	___	
मेक	ेक्	क्र	्रो	रो_	
मोड	ोड_	ड__	___	___	
तथा	था_	ा__	___	___	
हाइ	ाइप	इपर	परफ	रफो	
फ्ल	्ले	लेश	ेश_	श__	
जैस	ैसे	से_	े__	___	
फीच	ीचर	चर्	र्स	्स_	
दिए	िए_	ए__	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

सबस	बसे	से_	े__	___	
तेज	ेज_	ज__	___	___	
और_	र__	___	___	___	
सस्	स्त	्ता	ता_	ा__	
3डी	डी_	ी__	___	___	
कैम	ैमर	मरा	रा_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
3डी	डी_	ी__	___	___	
कैम	ैमर	मरा	रा_	ा__	
माइ	ाइक	इक्	क्र	्रो	
के_	े__	___	___	___	
किन	िने	नेट	ेट_	ट__	
3डी	डी_	ी__	___	___	
कैम	ैमर	मरे	रे_	े__	
से_	े__	___	___	___	
ज्य	्या	याद	ादा	दा_	
तेज	ेज_	ज__	___	___	
और_	र__	___	___	___	
सस्	स्त	्ता	ता_	ा__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
कैम	ैमर	मरा	रा_	ा__	
साम	ामन	मने	ने_	े__	
आने	ने_	े__	___	___	
वाल	ाले	ले_	े__	___	
आब्	ब्ज	्जे	जेक	ेक्	
का_	ा__	___	___	___	
3डी	डी_	ी__	___	___	
मैप	ैप_	प__	___	___	
तैय	ैया	यार	ार_	र__	
उसक	सकी	की_	ी__	___	
फोट	ोटो	टो_	ो__	___	
और_	र__	___	___	___	
वीड	ीडि	डिय	ियो	यो_	
बना	नान	ाने	ने_	े__	
में	ें_	ं__	___	___	
सक्	क्ष	्षम	षम_	म__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जबक	बकि	कि_	ि__	___	
माइ	ाइक	इक्	क्र	्रो	
किन	िने	नेट	ेट_	ट__	
3डी	डी_	ी__	___	___	
कैम	ैमर	मरा	रा_	ा__	
ऎसा	सा_	ा__	___	___	
करन	रने	ने_	े__	___	
सक्	क्ष	्षम	षम_	म__	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

अपन	पनी	नी_	ी__	___	
ब्र	्रा	राइ	ाइट	इटन	
और_	र__	___	___	___	
शान	ानद	नदा	दार	ार_	
एप्	प्स	्स_	स__	___	
की_	ी__	___	___	___	
बदौ	दौल	ौलत	लत_	त__	
यह_	ह__	___	___	___	
कैम	ैमर	मरा	रा_	ा__	
गेम	ेमि	मिं	िंग	ंग_	
की_	ी__	___	___	___	
दुन	ुनि	निय	िया	या_	
बदल	दलन	लने	ने_	े__	
वाल	ाला	ला_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फि्	ि्ल	्लप	लपअ	पअप	
डिस	िस्	स्प	्पल	पले	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
आए_	ए__	___	___	___	
इस_	स__	___	___	___	
कैम	ैमर	मरे	रे_	े__	
से_	े__	___	___	___	
दूस	ूसर	सरो	रों	ों_	
की_	ी__	___	___	___	
फोट	ोटो	टो_	ो__	___	
खीं	ींच	ंचन	चने	ने_	
के_	े__	___	___	___	
अला	लाव	ावा	वा_	ा__	
