बु	ुध	धव	वा	ार	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
से	े_	__	__	__	
ज्	्य	या	ाद	दा	
एप	प्	्ल	ली	ीक	
को	ो_	__	__	__	
एक	क_	__	__	__	
सा	ाथ	थ_	__	__	
खो	ोल	लन	ने	े_	
मे	ें	ं_	__	__	
कु	ुछ	छ_	__	__	
सम	मय	य_	__	__	
लग	ग_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
इं	ंट	टर	रन	नल	
स्	्ट	टो	ोर	रे	
4_	__	__	__	__	
जी	ीब	बी	ी_	__	
की	ी_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
इस	से	े_	__	__	
बढ	ढ़	़ा	ाक	कर	
32	2_	__	__	__	
जी	ीब	बी	ी_	__	
तक	क_	__	__	__	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
जि	िस	सक	के	े_	
लि	िए	ए_	__	__	
मा	ाइ	इक	क्	्र	
का	ार	र्	्ड	ड_	
इस	स्	्त	ते	ेम	
कर	रन	ना	ा_	__	
हो	ोग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्क	क्	्र	री	
का	ा_	__	__	__	
आक	कर	र_	__	__	
3.	.5	5_	__	__	
इं	ंच	च_	__	__	
है	ै_	__	__	__	
जि	िस	सक	के	े_	
चल	लत	ते	े_	__	
गे	ेम	मि	िं	ंग	
का	ा_	__	__	__	
अन	नु	ुभ	भव	व_	
बह	हु	ुत	त_	__	
सु	ुख	खद	द_	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
फो	ोन	न_	__	__	
वा	ाइ	इ_	__	__	
-J	JO	OI	IN	N_	
फा	ाइ	इ_	__	__	
पर	र_	__	__	__	
भी	ी_	__	__	__	
का	ाम	म_	__	__	
कर	र_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
दो	ो_	__	__	__	
कै	ैम	मर	रे	े_	
है	ैं	ं_	__	__	
-_	__	__	__	__	
रि	िय	यर	र_	__	
अर	र्	्थ	था	ात	
फो	ोन	न_	__	__	
के	े_	__	__	__	
पि	िछ	छल	ले	े_	
हि	िस	स्	्स	से	
मे	ें	ं_	__	__	
लग	गा	ा_	__	__	
कै	ैम	मर	रा	ा_	
3.	.2	2_	__	__	
मे	ेग	गा	ाप	पि	
का	ा_	__	__	__	
है	ै_	__	__	__	
जि	िस	सस	से	े_	
खी	ीच	चं	ंी	ी_	
गई	ई_	__	__	__	
तस	स्	्व	वी	ीर	
की	ी_	__	__	__	
क्	्व	वा	ाल	लि	
ठी	ीक	क_	__	__	
-J	JO	OI	IN	N_	
ठा	ाक	क_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
फ्	्र	रं	ंट	ट_	
कै	ैम	मर	रा	ा_	
0.	.3	3_	__	__	
मे	ेग	गा	ाप	पि	
का	ा_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फो	ोन	न_	__	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
कम	म्	्प	पन	नी	
26	61	1_	__	__	
रू	ूप	पय	ये	े_	
का	ा_	__	__	__	
डा	ाट	टा	ा_	__	
पै	ैक	के	ेज	ज_	
भी	ी_	__	__	__	
दे	े_	__	__	__	
रह	ही	ी_	__	__	
है	ै_	__	__	__	
जि	िस	सम	मे	ें	
आउ	उड	डि	िय	या	
टी	ीप	प_	__	__	
का	ा_	__	__	__	
ती	ीन	न_	__	__	
मह	ही	ीन	ने	े_	
का	ा_	__	__	__	
सब	ब्	्स	सक	क्	
और	र_	__	__	__	
1.	.6	6_	__	__	
जी	ीब	बी	ी_	__	
डा	ाट	टा	ा_	__	
शा	ाम	मि	िल	ल_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अप	पन	नी	ी_	__	
की	ीम	मत	त_	__	
के	े_	__	__	__	
अन	नु	ुर	रू	ूप	
फी	ीच	चर	र्	्स	
इस	सम	मे	ें	ं_	
नह	ही	ीं	ं_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

रै	ैम	म_	__	__	
के	ेव	वल	ल_	__	
51	12	2_	__	__	
एम	मब	बी	ी_	__	
हो	ोन	ने	े_	__	
के	े_	__	__	__	
का	ार	रण	ण_	__	
इं	ंट	टर	रन	ने	
और	र_	__	__	__	
अन	न्	्य	य_	__	
एप	प्	्ल	ली	ीक	
बह	हु	ुत	त_	__	
ते	ेज	ज़	़ी	ी_	
से	े_	__	__	__	
का	ाम	म_	__	__	
नह	ही	ीं	ं_	__	
कर	रत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्क	क्	्र	री	
का	ा_	__	__	__	
आक	का	ार	र_	__	
का	ाफ	फी	ी_	__	
छो	ोट	टा	ा_	__	
है	ै_	__	__	__	
और	र_	__	__	__	
फो	ोन	न_	__	__	
मे	ें	ं_	__	__	
सि	िं	ंग	गल	ल_	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
लग	गा	ा_	__	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
अब	ब_	__	__	__	
बी	ीत	ते	े_	__	
जम	मा	ान	ने	े_	
की	ी_	__	__	__	
बा	ात	त_	__	__	
हो	ो_	__	__	__	
चु	ुक	की	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सस	से	े_	__	
कु	ुछ	छ_	__	__	
सौ	ौ_	__	__	__	
रू	ूप	पय	ये	े_	
ज्	्य	या	ाद	दा	
खर	र्	्च	च_	__	
कर	र_	__	__	__	
ज्	्य	या	ाद	दा	
बड	ड़	़ी	ी_	__	
स्	्क	क्	्र	री	
,_	__	__	__	__	
ज्	्य	या	ाद	दा	
शक	क्	्त	ति	िश	
डय	यू	ूल	ल_	__	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
और	र_	__	__	__	
अन	न्	्य	य_	__	
कई	ई_	__	__	__	
अत	ति	िर	रि	िक	
फी	ीच	चर	र्	्स	
वा	ाल	ले	े_	__	
कई	ई_	__	__	__	
3ज	जी	ी_	__	__	
स्	्म	मा	ार	र्	
बा	ाज	जा	ार	र_	
मे	ें	ं_	__	__	
उप	पल	लब	ब्	्ध	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एप	प्	्प	पल	ल_	
ने	े_	__	__	__	
आई	ईफ	फो	ोन	न_	
5ए	एस	स_	__	__	
के	े_	__	__	__	
फि	िं	ंग	गर	रप	
से	ें	ंस	सर	र_	
और	र_	__	__	__	
कै	ैम	मर	रे	े_	
पर	र_	__	__	__	
सै	ैफ	फा	ाइ	इअ	
ग्	्ल	ला	ास	स_	
को	ोट	टि	िं	ंग	
का	ा_	__	__	__	
इस	स्	्त	ते	ेम	
कि	िय	या	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जह	हा	ां	ं_	__	
यू	ूज	जर	र्	्स	
टॉ	ॉप	प_	__	__	
स्	्क	क्	्र	री	
को	ो_	__	__	__	
‌न	नी	ीच	चे	े_	
की	ी_	__	__	__	
ओर	र_	__	__	__	
स्	्व	वा	ाइ	इप	
कर	रक	के	े_	__	
से	ेट	टि	िं	ंग	
बद	दल	ल_	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वि	िं	ंड	डो	ोज	
फो	ोन	न_	__	__	
8.	.1	1_	__	__	
यू	ूज	जर	र्	्स	
हो	ोम	म_	__	__	
स्	्क	क्	्र	री	
के	े_	__	__	__	
टा	ाइ	इल	ल्	्स	
को	ो_	__	__	__	
कस	स्	्ट	टम	मा	
भी	ी_	__	__	__	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
ठी	ीक	क_	__	__	
वै	ैस	से	े_	__	
ही	ी_	__	__	__	
जै	ैस	से	े_	__	
एं	ंड	ड्	्र	रॉ	
फो	ोन	न_	__	__	
यू	ूज	जर	र्	्स	
वॉ	ॉल	लप	पे	ेप	
बद	दल	लत	ते	े_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऐप	प_	__	__	__	
की	ी_	__	__	__	
कम	मी	ी_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वि	िं	ंड	डो	ोज	
फो	ोन	न_	__	__	
यू	ूज	जर	र्	्स	
के	े_	__	__	__	
लि	िए	ए_	__	__	
ऐप	प_	__	__	__	
स्	्ट	टो	ोर	र_	
पर	र_	__	__	__	
का	ाफ	फी	ी_	__	
सा	ार	री	ी_	__	
ऐप	प_	__	__	__	
मौ	ौज	जू	ूद	द_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	पक	को	ो_	__	
यह	हा	ां	ं_	__	
लग	गभ	भग	ग_	__	
सभ	भी	ी_	__	__	
जर	रू	ूर	री	ी_	
ऐप	प_	__	__	__	
मि	िल	ल_	__	__	
जा	ाए	एं	ंग	गी	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
अभ	भी	ी_	__	__	
भी	ी_	__	__	__	
आई	ईओ	ओए	एस	स_	
और	र_	__	__	__	
एं	ंड	ड्	्र	रॉ	
की	ी_	__	__	__	
तु	ुल	लन	ना	ा_	
मे	ें	ं_	__	__	
यह	हा	ां	ं_	__	
एप	प्	्ल	लि	िक	
की	ी_	__	__	__	
सं	ंख	ख्	्य	या	
कम	म_	__	__	__	
ही	ी_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यू	ूर	रे	ेक	का	
के	े_	__	__	__	
सा	ाइ	इज	ज_	__	
,_	__	__	__	__	
लु	ुक	क_	__	__	
और	र_	__	__	__	
इस	सक	की	ी_	__	
खू	ूब	बि	िय	यो	
की	ी_	__	__	__	
बा	ात	त_	__	__	
कर	रे	ें	ं_	__	
तो	ो_	__	__	__	
ये	े_	__	__	__	
का	ाफ	फी	ी_	__	
हद	द_	__	__	__	
तक	क_	__	__	__	
श्	्य	या	ाओ	ओम	
से	े_	__	__	__	
मि	िल	लत	ती	ी_	
जु	ुल	लत	ती	ी_	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वै	ैस	से	े_	__	
यू	ू_	__	__	__	
यू	ूर	रे	ेक	का	
न_	__	__	__	__	
तो	ो_	__	__	__	
कु	ुछ	छ_	__	__	
ज्	्य	या	ाद	दा	
ही	ी_	__	__	__	
स्	्ल	लि	िम	म_	
है	ै_	__	__	__	
और	र_	__	__	__	
न_	__	__	__	__	
ही	ी_	__	__	__	
वज	जन	न_	__	__	
के	े_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
का	ाफ	फी	ी_	__	
हल	ल्	्क	का	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
यू	ू_	__	__	__	
यू	ूर	रे	ेक	का	
मे	ें	ं_	__	__	
का	ाफ	फी	ी_	__	
कु	ुछ	छ_	__	__	
पस	सं	ंद	द_	__	
आन	ने	े_	__	__	
यो	ोग	ग्	्य	य_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
प्	्र	रो	ोस	से	
क्	्व	वा	ाल	लक	
का	ा_	__	__	__	
नय	या	ा_	__	__	
ओक	क्	्ट	टा	ा_	
प्	्र	रो	ोस	से	
स्	्न	नै	ैप	पड	
61	15	5_	__	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
जि	िस	सम	मे	ें	
64	4_	__	__	__	
बि	िट	ट_	__	__	
ऑक	क्	्ट	टा	ा_	
को	ोर	र_	__	__	
प्	्र	रो	ोस	से	
लग	गा	ा_	__	__	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सा	ाइ	इन	नो	ोज	
11	1_	__	__	__	
हा	ाल	ल_	__	__	
ही	ी_	__	__	__	
मे	ें	ं_	__	__	
64	4_	__	__	__	
बि	िट	ट_	__	__	
के	े_	__	__	__	
मु	ुत	ता	ाब	बि	
ढल	ला	ा_	__	__	
है	ै_	__	__	__	
ऐस	से	े_	__	__	
मे	ें	ं_	__	__	
इस	स_	__	__	__	
फी	ीच	चर	र_	__	
को	ो_	__	__	__	
इन	नक	कॉ	ॉर	रप	
कर	रन	ना	ा_	__	
बढ	ढ़	़ि	िय	या	
रह	हा	ा_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यू	ूर	रे	ेक	का	
के	े_	__	__	__	
लु	ुक	क_	__	__	
और	र_	__	__	__	
वि	िज	जे	ेट	ट्	
को	ो_	__	__	__	
ले	ेक	कर	र_	__	
आप	प_	__	__	__	
इस	से	े_	__	__	
आर	रा	ाम	म_	__	
से	े_	__	__	__	
कस	स्	्ट	टम	मा	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सा	ाइ	इन	नो	ोज	
ओए	एस	स_	__	__	
की	ी_	__	__	__	
यह	ह_	__	__	__	
खा	ास	स_	__	__	
बा	ात	त_	__	__	
है	ै_	__	__	__	
कि	ि_	__	__	__	
अप	पी	ीय	यर	रे	
के	े_	__	__	__	
कस	स्	्ट	टम	मा	
के	े_	__	__	__	
मा	ाम	मल	ले	े_	
मे	ें	ं_	__	__	
आप	प_	__	__	__	
इस	सम	मे	ें	ं_	
कई	ई_	__	__	__	
फे	ेर	रब	बद	दल	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गू	ूग	गल	ल_	__	
ऐप	प्	्स	स_	__	
के	े_	__	__	__	
अल	ला	ाव	वा	ा_	
यू	ू_	__	__	__	
यू	ूर	रे	ेक	का	
यू	ूय	यू	ून	नि	
ना	ाम	म_	__	__	
का	ा_	__	__	__	
ऐप	प_	__	__	__	
प्	्र	रो	ोव	वा	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऑड	डि	िय	यो	ो_	
इक	क्	्व	वे	ेल	
और	र_	__	__	__	
कु	ुछ	छ_	__	__	
इफ	फे	ेक	क्	्ट	
डा	ाल	लन	ने	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
ऑड	डि	िय	यो	ोए	
ऐप	प_	__	__	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यू	ूर	रे	ेक	का	
श्	्य	या	ाओ	ओम	
के	े_	__	__	__	
रे	ेड	डम	मी	ी_	
नो	ोट	ट_	__	__	
को	ो_	__	__	__	
कई	ई_	__	__	__	
मा	ाम	मल	लो	ों	
मे	ें	ं_	__	__	
एक	कद	दम	म_	__	
टक	क्	्क	कर	र_	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

दि	िन	न_	__	__	
प्	्र	रत	ति	िद	
के	े_	__	__	__	
इस	स्	्त	ते	ेम	
मे	ें	ं_	__	__	
यह	ह_	__	__	__	
फो	ोन	न_	__	__	
एक	कद	दम	म_	__	
बढ	ढ़	़ि	िय	या	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एक	क_	__	__	__	
खा	ास	स_	__	__	
बा	ात	त_	__	__	
यह	ह_	__	__	__	
कि	ि_	__	__	__	
सू	ूर	रज	ज_	__	
की	ी_	__	__	__	
रो	ोश	शन	नी	ी_	
मे	ें	ं_	__	__	
भी	ी_	__	__	__	
आप	प_	__	__	__	
इस	से	े_	__	__	
'_	__	__	__	__	
पढ	ढ़	़_	__	__	
'_	__	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

क्	्य	यो	ों	ंक	
,_	__	__	__	__	
कं	ंप	पन	नी	ी_	
का	ाफ	फी	ी_	__	
कम	म_	__	__	__	
की	ीम	मत	त_	__	
मे	ें	ं_	__	__	
जो	ो_	__	__	__	
कु	ुछ	छ_	__	__	
दे	े_	__	__	__	
रह	ही	ी_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
वह	ह_	__	__	__	
थो	ोड	ड़	़े	े_	
मे	ें	ं_	__	__	
ज्	्य	या	ाद	दा	
दे	ेन	ने	े_	__	
वा	ाल	ली	ी_	__	
बा	ात	त_	__	__	
को	ो_	__	__	__	
सा	ाब	बि	ित	त_	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

श्	्य	या	ाओ	ओम	
रे	ेड	डम	मी	ी_	
नो	ोट	ट_	__	__	
के	े_	__	__	__	
एक	कद	दम	म_	__	
बढ	ढ़	़ि	िय	या	
वि	िक	कल	ल्	्प	
के	े_	__	__	__	
तौ	ौर	र_	__	__	
पर	र_	__	__	__	
इस	से	े_	__	__	
दे	ेख	खा	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्म	मा	ार	र्	
की	ी_	__	__	__	
मू	ून	नस	स्	्ट	
बै	ैक	क_	__	__	
यह	ह_	__	__	__	
वन	न_	__	__	__	
प्	्ल	लस	स_	__	
वन	न_	__	__	__	
मे	ें	ं_	__	__	
आप	पक	को	ो_	__	
मि	िल	लन	ने	ेव	
सॅ	ॅन	न्	्ड	डस	
बै	ैक	क_	__	__	
का	ा_	__	__	__	
ही	ी_	__	__	__	
सस	स्	्त	ता	ा_	
अव	वत	ता	ार	र_	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
फि	िर	र_	__	__	
भी	ी_	__	__	__	
यह	ह_	__	__	__	
रे	ेड	डम	मी	ी_	
नो	ोट	ट_	__	__	
के	े_	__	__	__	
चि	िक	कन	ने	े_	
प्	्ल	ला	ास	स्	
से	े_	__	__	__	
अच	च्	्छ	छा	ा_	
ही	ी_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बन	ना	ाव	वट	ट_	
मज	ज़	़ब	बू	ूत	
है	ै_	__	__	__	
और	र_	__	__	__	
मै	ैं	ं_	__	__	
यह	ह_	__	__	__	
तो	ो_	__	__	__	
नह	ही	ीं	ं_	__	
कह	ह_	__	__	__	
सक	कत	ता	ा_	__	
कि	ि_	__	__	__	
यह	ह_	__	__	__	
आक	कर	र्	्ष	षक	
दि	िख	खन	ने	ेव	
डि	िव	वा	ाई	ईस	
है	ै_	__	__	__	
ले	ेक	कि	िन	न_	
मै	ैं	ं_	__	__	
इस	से	े_	__	__	
बद	दस	सू	ूर	रत	
भी	ी_	__	__	__	
नह	ही	ीं	ं_	__	
कह	हू	ूं	ंग	गा	
।_	__	__	__	__	
EO	OL	L_	__	__	

बि	िल	ल्	्ट	ट_	
और	र_	__	__	__	
डि	िज	ज़	़ा	ाई	
वि	िभ	भा	ाग	ग_	
मे	ें	ं_	__	__	
यू	ू_	__	__	__	
यू	ूर	रे	ेक	का	
अप	पन	नी	ी_	__	
की	ीम	मत	त_	__	
पर	र_	__	__	__	
खर	रा	ा_	__	__	
उत	तर	रत	ता	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
रि	िम	मू	ूव	वे	
बै	ैट	ट्	्र	री	
हो	ोन	ने	े_	__	
की	ी_	__	__	__	
वज	जह	ह_	__	__	
से	े_	__	__	__	
इस	से	े_	__	__	
कु	ुछ	छ_	__	__	
अत	ति	िर	रि	िक	
गु	ुण	ण_	__	__	
मि	िल	लत	ते	े_	
है	ैं	ं_	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
यह	ह_	__	__	__	
कु	ुछ	छ_	__	__	
ऐस	सा	ा_	__	__	
अल	लग	ग_	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
जि	िस	सक	की	ी_	
आप	पन	ने	े_	__	
उम	म्	्म	मी	ीद	
की	ी_	__	__	__	
हो	ोग	गी	ी_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यू	ू_	__	__	__	
यू	ूर	रे	ेक	का	
मज	ज़	़ब	बू	ूत	
बन	ना	ाव	वट	ट_	
और	र_	__	__	__	
सं	ंत	तो	ोष	षज	
लू	ूक	क्	्स	स_	
का	ा_	__	__	__	
स्	्म	मा	ार	र्	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
ऍस	सस	स_	__	__	
ज़	़े	ेन	नफ	फो	
5_	__	__	__	__	
जै	ैस	सा	ा_	__	
मन	नम	मो	ोह	हक	
तो	ो_	__	__	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
रे	ेड	डम	मी	ी_	
नो	ोट	ट_	__	__	
के	े_	__	__	__	
सस	स्	्त	ते	े_	
प्	्ल	ला	ास	स्	
फी	ील	ल_	__	__	
से	े_	__	__	__	
दू	ूर	र_	__	__	
रह	हक	कर	र_	__	
उस	सन	ने	े_	__	
अच	च्	्छ	छा	ा_	
का	ाम	म_	__	__	
कर	र_	__	__	__	
दि	िख	खा	ाय	या	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सा	ाथ	थ_	__	__	
ही	ी_	__	__	__	
,_	__	__	__	__	
यू	ूर	रे	ेक	का	
अप	पन	ने	े_	__	
आक	का	ार	र_	__	
की	ी_	__	__	__	
तु	ुल	लन	ना	ा_	
मे	ें	ं_	__	__	
बह	हु	ुत	त_	__	
हल	लक	का	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जो	ो_	__	__	__	
उस	सक	के	े_	__	
खा	ात	ते	े_	__	
मे	ें	ं_	__	__	
और	र_	__	__	__	
भी	ी_	__	__	__	
गु	ुण	ण_	__	__	
जो	ोड	ड़	़त	ता	
